Code,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,Y2
20194301,1.8,1.6,1.6,1.6,1.6,1.6,1.8,1.8,1.8,1.8,2,2,2,2,2.4,2.4,2.2,2.2,2,2,2.2,2.2,2.6,2,2.2,2.2,2.4,2.4,1.6,1.6,2.6,2.4,2.6,2.6,2.4,2.6,2.6,2,1.6,2.4,1.8,2.6,2,2.4,1.8,2,2,2,2,2,2.2,2,2.2,2.2,2,2.6,2.6,2.2,2.4,2.4,2.8,2.4,2.4,1.6,1.8,1.6,1.8,2,2,1.8,2,1.8,1.6,2,1.6,1.6,1.8,1.8,1.6,1.8,2,1.6,1.8,1.8,1.8,1.6,2,1.8,2,1.6,1.8,2,2.2,1.8,2,2.4,2,2,2.2,2,2,1.8,2,2.4,2.2,2.4,2.6,2.4,2.4,2.4,2.4,2.6,2,2.2,2.6,1.6,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2,2,0
20194371,2,2,2,2,2,2,2,2,2,2,2,2,2,2.25,2.75,2,2.25,2.5,2,2.5,2.5,2,2.75,3.5,3,3,3,2,1.25,1.5,2.75,2.25,2.75,3.25,2.75,3,2.5,2.75,2.5,2.5,1.5,1.25,2,2,1.75,1.75,2,1.75,1.75,1.75,2,1.75,2.25,2.25,2.75,2.5,2.25,2.5,2,2.5,2.25,2,1.75,2.25,2.5,2.25,2.75,2.5,2.5,2.5,2.5,2,1.75,2,2.25,2.25,2.5,2.5,2.25,2.5,2.5,2.25,2.25,2.25,3,2,2.25,2.75,2.25,2.25,2.25,2.75,2,2,2,2.25,2,2.75,2,2.5,2,2.5,2,2.5,2,2.25,2.5,2,2.5,2.5,2.75,2,2.5,2.25,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20194403,2,2,2,2,2,2,2,2,2,2.333333333,2,2,2,2,2.333333333,2,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,2,2.666666667,2.333333333,3,2.666666667,2.333333333,1.666666667,3,2.333333333,2.333333333,2.666666667,2.666666667,2.666666667,3,2.666666667,3,2,2,1.666666667,2,1.333333333,2,2.666666667,1.666666667,2,1.666666667,2,1.666666667,1.666666667,2,1.666666667,2.333333333,2.333333333,2.333333333,2,2.333333333,2,2.333333333,2.333333333,2.333333333,1.666666667,1.666666667,2.333333333,3,2.666666667,3,2.333333333,2.333333333,2.666666667,2,1.666666667,2,2,2.333333333,2.333333333,2.333333333,2.333333333,3,2.666666667,2,2,2.666666667,2.333333333,2.333333333,2.333333333,2.666666667,2,3,2.666666667,2,2.666666667,2.333333333,2.333333333,2,2.333333333,2.333333333,2.666666667,2,2,2,2.333333333,2.333333333,2.333333333,2.666666667,2,2,2.333333333,2.333333333,2,2.333333333,3,2.333333333,2.333333333,2.333333333,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20194432,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2.2,2.8,2.4,2.4,2.2,2.6,2,2,3,2.4,2.4,3.2,2.4,1.8,2,2,2.4,2.4,2.4,2.6,2.2,2.6,2.6,2,2.4,2.4,2.2,1.4,2,1.6,2.2,1.6,1.8,2,2,2.4,2,2,2.2,2.4,2.2,2.2,2.2,2.4,2.2,2.2,2.2,2.2,2,2.4,2.2,2.8,2.6,2.4,2.8,2.2,2.2,1.8,1.8,2.4,2.4,2.4,2.2,2.2,2.2,2.4,2.4,2.2,2.4,2.6,2,2.2,2.2,2.4,2.6,2.6,2.4,2.4,2.4,2,2.6,2.8,2.2,2.2,2.2,2.4,2.4,2,2.4,2.4,2.8,2.6,2.4,2.4,2.4,2.6,2.2,2.6,2,2.6,2,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2,2,0
20194434,1.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2,2,2,1.8,2.4,2.4,2.2,2.4,2.6,2.6,2.2,2.8,3.2,2.2,2.6,2.4,3,1.8,1.8,2,2.2,2.4,2.8,2.6,2.2,2.2,2.2,2.4,2.4,1.8,2,2.2,2.2,1.4,2,1.8,1.8,1.8,2.2,1.8,2.2,2,2.6,2.8,2.4,2.2,2.2,2.4,2,2.2,1.8,2.2,2,2.2,2.2,2,2.4,2.4,2.2,1.8,1.8,1.8,1.6,2.2,2,2,2,2.2,2,1.8,2.4,2,2.2,2,2.2,1.8,1.8,2,2.4,2,2.2,2.2,2.4,2.2,2.4,2.4,2.6,2,2.2,2,2.6,2.6,2.4,2.2,2.4,2.4,2.2,2.6,2.2,2.2,2.4,2.4,2.2,2,2.6,1.6,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2,2,0
20194436,2.5,2.5,2.5,3.5,2,3,3,3.5,2,3.5,2,3.5,3.5,3.5,2,2.5,3,3.5,3,2.5,3.5,2.5,3.5,3,4,2.5,2,1.5,2.5,3,2.5,2.5,3,3,2.5,2.5,2.5,2.5,2.5,1.5,2.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2.5,2,2.5,2,2,2.5,2,1.5,1.5,2,2,2.5,2,2.5,3,2.5,2,3,2.5,2.5,2.5,2,2.5,2.5,2,2.5,2,2,2.5,2.5,2.5,2,2.5,2,2.5,2,2,2.5,2,2.5,2,2,2.5,2,2,2,2,2.5,2.5,2,2,2,2.5,2.5,2,2,2.5,2.5,2.5,3,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20194457,3,2,2.5,3,2,3,3,2.5,2.5,2.5,3.5,3,2,3.5,2.5,3,2,2.5,3,2.5,3,2,3.5,3.5,4,3.5,3.5,1.5,2,2,2,3.5,2.5,3,3,3,3,1.5,2,2,2,2.5,2,1.5,2.5,2,2,2,1.5,1.5,2,1.5,2.5,2,2,2,2,2,2,2,1.5,1.5,2,2,2,2.5,2,3,2.5,2.5,2.5,2,2.5,2,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2.5,2,2.5,2.5,2.5,2.5,2,2.5,2.5,2.5,2.5,2,2.5,2,2.5,3,2.5,2,2.5,2,2,2,3,2.5,2.5,2,2.5,2,2.5,2,2.5,2,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20194462,1.666666667,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.666666667,2,2,2,2,2.333333333,2.333333333,2.333333333,2.333333333,2,2.333333333,2.333333333,2.333333333,2.333333333,2.666666667,2.333333333,2.333333333,1.333333333,3,3,2.666666667,2.333333333,2.333333333,2.666666667,2.333333333,2,2.666666667,2.333333333,1.666666667,1.666666667,2.333333333,2.666666667,2.666666667,1.333333333,1.666666667,2.333333333,2,2.333333333,2.666666667,2.333333333,2.333333333,2.333333333,2.333333333,2,2,2.333333333,2.333333333,2,2.666666667,2,2,2.333333333,2,2.333333333,2.666666667,2.333333333,2,2,2,2,2.333333333,2.333333333,2,2.333333333,2,2.333333333,2.333333333,2.333333333,2.333333333,2,2.333333333,2.666666667,2,2.333333333,2,2,2,2.333333333,2,2.333333333,2.333333333,2.333333333,2.666666667,2.333333333,2.333333333,2.333333333,2,2,2,2.666666667,2.333333333,2,2.333333333,2.666666667,2.333333333,2.333333333,2,2.666666667,2.333333333,2.666666667,2.333333333,2.333333333,2,2.333333333,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20194487,1.666666667,2,2,2,2,2,2,2,2,2,2,2,2,2,2.666666667,2,2.666666667,3,2.333333333,2.666666667,2.666666667,2.333333333,2.666666667,2.666666667,3,3,3.333333333,1.333333333,2.666666667,1.666666667,3,3,3,3.666666667,2.666666667,3.666666667,3,1.666666667,3,2.666666667,1.666666667,1.666666667,2.333333333,1.666666667,2.333333333,2.333333333,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,2.333333333,2,2.666666667,2,2,2,2,1.666666667,1.666666667,2.333333333,2,1.666666667,2,1.666666667,1.666666667,1.666666667,1.666666667,2,1.666666667,1.666666667,2,2,2,1.666666667,2,1.666666667,2,2,2,2,2.333333333,2,1.666666667,2,1.666666667,2.333333333,2,1.666666667,1.666666667,2.333333333,1.666666667,1.666666667,2,2,1.666666667,2,2,2.666666667,2.666666667,2.333333333,2.333333333,2,2.666666667,2.666666667,3,2.333333333,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20194501,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2.5,2.5,2.5,3,2.5,2.5,2,3.5,2,2.5,2,3,2.5,3,3,3,3.5,2.5,2,1.5,2,3,1.5,2,1.5,2,3,2,2,1.5,2,1.5,1.5,1.5,2,2,2.5,2,2,2,2.5,2.5,2,2.5,2,1.5,1.5,1.5,1.5,1.5,2,1.5,2,1.5,1.5,1.5,1.5,1.5,2,2,1.5,2,1.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5,1.5,2,2,1.5,2,1.5,2,2,2.5,2,2,3,2.5,2.5,2,3,2,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20204391,1.666666667,2,2,2,2,2,2.666666667,2.666666667,2,2,2,2,2,2,2,2,2,2,2.666666667,2.333333333,2,2.666666667,2.333333333,2.333333333,2.666666667,2,2,1.333333333,1.666666667,2,2,2.333333333,2,2,2,2,2.333333333,1.666666667,1.666666667,2,1.666666667,1.666666667,3,2.666666667,2.333333333,1.666666667,2,2.333333333,2.333333333,2.333333333,2,2,2.333333333,2.666666667,2.333333333,2,2,2.333333333,2,2,2.333333333,2,2,1.666666667,2.333333333,1.666666667,1.666666667,2,2.333333333,2,1.666666667,1.666666667,1.333333333,2,2,1.666666667,1.666666667,1.666666667,1.666666667,2,2,1.666666667,1.666666667,1.666666667,1.666666667,2,1.666666667,1.666666667,2,1.666666667,1.666666667,2,1.666666667,1.666666667,1.666666667,2.333333333,2.333333333,1.666666667,1.666666667,2,2,2.333333333,1.666666667,2,2.333333333,2.333333333,2.333333333,2,2.666666667,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,2,2,0
20204394,1.666666667,2,2,2,2,2,2,2,2,2,2,2,2,1.666666667,3,2,2,2,2.666666667,2.333333333,2,2.333333333,2.333333333,2.333333333,2,2.666666667,2.333333333,2.333333333,2.333333333,1.666666667,2,2,2.666666667,1.666666667,2.333333333,1.333333333,2.333333333,2.333333333,2,1.666666667,1.333333333,1.666666667,2,2,2,2,2,2.333333333,2,2,2,2.333333333,2.333333333,2,2,2.666666667,2,2.666666667,2,2.333333333,2,2.333333333,2.333333333,2,1.666666667,1.666666667,2.333333333,1.666666667,1.666666667,1.666666667,2,1.333333333,1.333333333,2.333333333,2,2,2,1.666666667,2,2,2,1.666666667,1.666666667,2,2.333333333,2,2,2,2.333333333,1.666666667,2.333333333,2.666666667,2.666666667,2.666666667,2,2,2.333333333,2.333333333,2.333333333,2.666666667,2.666666667,2.333333333,2.333333333,2,2,2,2,2.333333333,2.333333333,2.333333333,2.666666667,2,2.333333333,2,2,1.333333333,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,2,2,0
20204396,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,2,3,2,2,3,2,2,3,2,2,2,2,3,3,2,3,3,2,3,2,1,2,3,3,2,3,1,2,2,3,2,2,2,2,3,3,2,2,3,2,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,2,2,3,3,3,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20204442,2.666666667,1.666666667,1.333333333,2.333333333,1.666666667,2.666666667,1.666666667,1.666666667,1.666666667,1.666666667,2,2,2,2,2,2.333333333,2,2.333333333,2,2,2,2,2.333333333,2,2,2.333333333,2,2.666666667,1.333333333,1.666666667,2,2.333333333,2,1.666666667,2.333333333,2.333333333,2.333333333,2,2.666666667,1.666666667,2,2.666666667,1.666666667,1.666666667,1.666666667,2.666666667,2,2.666666667,2,2.333333333,2.666666667,2,2,2.666666667,2.666666667,2,2.333333333,2.333333333,2.333333333,2,2.333333333,2,2.333333333,2,2,1.666666667,2,1.666666667,2,1.666666667,2,1.666666667,1.333333333,2,1.666666667,1.666666667,1.666666667,2.333333333,2,1.666666667,2.333333333,1.666666667,2,2,2,1.666666667,1.666666667,1.666666667,1.666666667,2,2,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.666666667,2.333333333,2.333333333,2,3,2,2.333333333,2,2.333333333,2,2,2.333333333,2.666666667,3,2,2.666666667,2.333333333,1.333333333,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,2,2,0
20204461,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,2,3,2,2,3,3,2,3,3,2,3,2,3,2,3,2,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,3,3,1,3,3,2,2,3,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
20204604,2,1.333333333,1.333333333,1.333333333,1.333333333,1.333333333,1.666666667,1.666666667,1.666666667,1.666666667,2,2,2,2,2.666666667,2.666666667,2.666666667,2.333333333,2,2.666666667,3,2.666666667,2,2,2.666666667,2.333333333,2,2,1.333333333,2,2,2,2.333333333,1.666666667,1.666666667,1.666666667,2,2.333333333,1.333333333,1.666666667,2.333333333,2,2.333333333,2.333333333,1.666666667,2.666666667,2.333333333,2.333333333,2,2.333333333,2.333333333,2.333333333,2,2,2.333333333,2.333333333,2.333333333,2.666666667,2.333333333,2,2.333333333,2.333333333,2.333333333,2,2,2,1.666666667,1.666666667,1.666666667,2,2,1.333333333,1.333333333,2,1.666666667,2,1.666666667,2,1.666666667,2,2,2,1.666666667,2,2,2,2.333333333,2,1.666666667,1.666666667,2.333333333,2.666666667,2.666666667,2.333333333,2.333333333,2.666666667,2,2,2.333333333,2.666666667,2,2.333333333,3,2.333333333,2.333333333,2,2,2,2.666666667,2,2.333333333,2,2,2,2.333333333,1.333333333,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,2,2,0
20204619,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2.666666667,2.333333333,2,2,2.666666667,2.666666667,2.333333333,2.666666667,3,2.666666667,2,2,2.333333333,2.333333333,1.666666667,3,2.666666667,2,1.666666667,2,2,2.333333333,1.333333333,2,1.333333333,1.666666667,2.333333333,1.666666667,2.333333333,2,3,2.333333333,2,2.666666667,2.666666667,2.333333333,2.333333333,2.333333333,2.666666667,2.333333333,2.333333333,2.666666667,2.666666667,2,2.333333333,2,2,2.333333333,2.333333333,2.666666667,2.666666667,2.333333333,2.666666667,2,2.333333333,2,1.666666667,1.333333333,2,2.333333333,3,2.333333333,2.666666667,2,2.333333333,2,2,2,2.666666667,2,2.333333333,2.333333333,2.666666667,2,2.333333333,2.333333333,2.666666667,2,2.333333333,2,2.333333333,2.333333333,2.333333333,3,2.333333333,2.333333333,3,2.333333333,2.333333333,2.333333333,2,2,2.333333333,2.333333333,2.333333333,2,2.333333333,2,2.333333333,2.333333333,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,2,2,0
20204756,2,1,1,1,1,1,1.5,1.5,1.5,1.5,2,2,2,2,3.5,3,3.5,2.5,2.5,2.5,2.5,3,3,3.5,2,2,3,1.5,1.5,2,2,2,2,2.5,2.5,1.5,2,2.5,1,1,2,3,2.5,2,2,2.5,2,2.5,2.5,2.5,2,2,3,2.5,2,2,2.5,2.5,2.5,2,2.5,2,2.5,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,1.5,1.5,2,2,1.5,1.5,1.5,2,1.5,3,2.5,2,2.5,2,2,2,2,2.5,2.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20204757,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,3,2,1,1,1,2,3,2,3,3,2,2,2,1,1,1,3,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,2,3,2,2,2,3,3,3,3,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
20204997,1.666666667,2,2,2,2,2,2,2,2,2,2,2,2,3,2.666666667,2,2.333333333,2,2.333333333,2,2,2.333333333,2.666666667,2.666666667,2.666666667,2.666666667,2.666666667,1.333333333,1.333333333,1.666666667,2.666666667,2.666666667,2,1.666666667,2,2,2,2.666666667,2,2.333333333,2.333333333,2,2,1.666666667,2,1,2.333333333,2,2.666666667,2,2.333333333,2.333333333,2.333333333,2,2.333333333,2.333333333,2,2.333333333,2.666666667,2,2.333333333,2.333333333,2,2,2.333333333,2.333333333,2.666666667,2,2.333333333,2.333333333,2.333333333,2,1.333333333,2.666666667,2,2.333333333,2.333333333,2.333333333,2.666666667,2,2.333333333,2.333333333,2.666666667,2.333333333,2.333333333,2,2.333333333,2,2.333333333,2.666666667,2,2.333333333,2.333333333,2.333333333,2.666666667,2,2.333333333,2,2.333333333,2.333333333,2,2.333333333,2,2.333333333,2.333333333,2,2.333333333,2.333333333,3,2,2.666666667,2.333333333,2.333333333,2,2.333333333,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,1.666666667,2,2,0
20214411,2,2,2,2,2,2,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,1,1,1,2,1,1,1,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,3,3,2,2,2,2,3,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
20214413,2,2,2,2,2,2,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,1,1,2,1,1,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,3,2,2,2,3,3,3,2,2,3,3,3,2,2,3,2,2,3,3,3,2,3,2,3,3,2,2,2,2,3,3,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
20214426,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,3,2,3,2,3,3,3,2,2,2,2,3,3,2,2,2,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
20214581,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,1,1,1,2,2,2,2,2,3,3,3,1,1,3,2,2,2,2,3,3,2,2,3,2,2,2,3,3,2,2,3,2,3,3,2,2,2,3,3,2,2,3,2,2,2,3,3,3,2,3,2,2,3,2,3,3,3,2,2,2,2,3,2,2,3,3,2,2,3,2,3,2,3,2,3,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
20214642,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,1,1,1,2,2,1,2,1,2,3,2,1,2,2,3,2,2,2,2,3,3,2,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,3,2,2,2,3,3,2,3,2,2,2,3,2,3,3,2,3,2,2,3,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
20214783,2,3,3,5,2,2,5,4,3,4,5,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,1,3,2,3,1,3,1,1,2,1,3,2,2,2,2,2,2,3,3,2,3,2,2,3,3,3,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,3,2,2,3,2,3,3,3,2,2,2,2,2,3,3,2,3,2,3,2,2,3,2,2,3,2,2,3,2,3,2,2,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
20214843,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,3,3,3,2,3,2,3,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,3,2,3,3,3,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
20214929,2,2,2,2,2,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,3,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,2,2,2,2,3,2,2,3,3,2,3,2,3,3,2,3,2,2,3,2,2,2,3,3,2,3,2,2,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0
